,title,artist,year,views,url
0,Untitled,Rex Orange County,2017,260112,https://genius.com/Rex-Orange-County-Untitled-lyrics
1,Dandelions,Ruth B.,2017,221563,https://genius.com/Ruth-B-Dandelions-lyrics
2,I Like,G Herbo,2017,197179,https://genius.com/G-Herbo-I-Like-lyrics
3,Kiss Me,Ed Sheeran,2011,402274,https://genius.com/Ed-Sheeran-Kiss-Me-lyrics
4,I Say A Little Prayer,Aretha Franklin,1968,315395,https://genius.com/Aretha-Franklin-I-Say-A-Little-Prayer-lyrics
5,Bahamas,A$AP Mob,2017,209641,https://genius.com/AAP-Mob-Bahamas-lyrics
6,Controlla,Drake,2016,1957905,https://genius.com/Drake-Controlla-lyrics
7,Far,Lil Xan,2017,257337,https://genius.com/Lil-Xan-Far-lyrics
8,Moving Along,5 Seconds of Summer,2018,244712,https://genius.com/5-Seconds-of-Summer-Moving-Along-lyrics
9,Lights,Journey,1978,210370,https://genius.com/Journey-Lights-lyrics
10,Little Do You Know,Alex & Sierra,2014,527437,https://genius.com/Alex-Sierra-Little-Do-You-Know-lyrics
11,​h u n g e r . o n . h i l l s i d e,J. Cole & Bas,2021,383941,https://genius.com/J-Cole-Bas-​h-u-n-g-e-r-o-n-h-i-l-l-s-i-d-e-lyrics
12,You Got Me,The Roots,1999,343321,https://genius.com/The-Roots-You-Got-Me-lyrics
13,No Roots,Alice Merton,2016,314699,https://genius.com/Alice-Merton-No-Roots-lyrics
14,Turn Me Up,Ab-Soul,2010,225336,https://genius.com/AbSoul-Turn-Me-Up-lyrics
15,Pink  White,Frank Ocean,2016,1726050,https://genius.com/Frank-Ocean-Pink-White-lyrics
16,Toxic,Britney Spears,2004,634669,https://genius.com/Britney-Spears-Toxic-lyrics
17,Die Young,Roddy Ricch,2018,652031,https://genius.com/Roddy-Ricch-Die-Young-lyrics
18,Go to Sleep,Eminem,2003,383137,https://genius.com/Eminem-Go-to-Sleep-lyrics
19,Cause Im a Man,Tame Impala,2015,288401,https://genius.com/Tame-Impala-Cause-Im-a-Man-lyrics
20,Why You Always Lying,Nicholas Fraser,2015,290502,https://genius.com/Nicholas-Fraser-Why-You-Always-Lying-lyrics
21,Safe,Victory Worship,2017,285374,https://genius.com/Victory-Worship-Safe-lyrics
22,Workin Out,JID,2018,260324,https://genius.com/JID-Workin-Out-lyrics
23,Your Sister Was Right,Wilbur Soot,2020,220152,https://genius.com/Wilbur-Soot-Your-Sister-Was-Right-lyrics
24,Daydreamin,Lupe Fiasco,2006,194281,https://genius.com/Lupe-Fiasco-Daydreamin-lyrics
25,You Need To Calm Down,Taylor Swift,2019,1432340,https://genius.com/Taylor-Swift-You-Need-To-Calm-Down-lyrics
26,Luvsic,Nujabes,2001,218171,https://genius.com/Nujabes-Luvsic-lyrics
27,Only U,PARTYNEXTDOOR,2016,247051,https://genius.com/PARTYNEXTDOOR-Only-U-lyrics
28,The Choice is Yours Revisited,Black Sheep,1991,232119,https://genius.com/Black-Sheep-The-Choice-is-Yours-Revisited-lyrics
29,Tron Cat,"Tyler, The Creator",2011,985998,https://genius.com/Tyler-The-Creator-Tron-Cat-lyrics
30,Hollywood Whore,Machine Gun Kelly,2019,224929,https://genius.com/Machine-Gun-Kelly-Hollywood-Whore-lyrics
31,Nameless,Lil Keed,2018,278442,https://genius.com/Lil-Keed-Nameless-lyrics
32,Curve,Gucci Mane,2017,443659,https://genius.com/Gucci-Mane-Curve-lyrics
33,Dead,My Chemical Romance,2006,253159,https://genius.com/My-Chemical-Romance-Dead-lyrics
34,DISTRICT,BROCKHAMPTON,2018,217309,https://genius.com/BROCKHAMPTON-DISTRICT-lyrics
35,Streetcar,Daniel Caesar,2015,478890,https://genius.com/Daniel-Caesar-Streetcar-lyrics
36,One of Those Nights,Juicy J,2013,594536,https://genius.com/Juicy-J-One-of-Those-Nights-lyrics
37,FRIENDS,Marshmello & Anne-Marie,2018,5510293,https://genius.com/Marshmello-AnneMarie-FRIENDS-lyrics
38,Gorgeous,Kanye West,2010,1770742,https://genius.com/Kanye-West-Gorgeous-lyrics
39,1-800-273-8255,Logic,2017,7955642,https://genius.com/Logic-18002738255-lyrics
40,For women who are difficult to love.,Warsan Shire,2013,458678,https://genius.com/Warsan-Shire-For-women-who-are-difficult-to-love-lyrics
41,Born to Run,Bruce Springsteen,1975,558476,https://genius.com/Bruce-Springsteen-Born-to-Run-lyrics
42,Ocean,TK Kravitz,2018,250947,https://genius.com/TK-Kravitz-Ocean-lyrics
43,RICKY,Denzel Curry,2019,307816,https://genius.com/Denzel-Curry-RICKY-lyrics
44,P power,Gunna,2022,225359,https://genius.com/Gunna-P-power-lyrics
45,​molly,iann dior,2019,195476,https://genius.com/iann-dior-​molly-lyrics
46,​witchblades,Lil Peep & Lil Tracy,2017,1131231,https://genius.com/Lil-Peep-Lil-Tracy-​witchblades-lyrics
47,Feel It Still,Portugal. The Man,2017,1380112,https://genius.com/Portugal-The-Man-Feel-It-Still-lyrics
48,OHMAMI,Chase Atlantic,2021,324014,https://genius.com/Chase-Atlantic-OHMAMI-lyrics
49,Literal Legend,Ayesha Erotica,2017,224720,https://genius.com/Ayesha-Erotica-Literal-Legend-lyrics
